ID,Edge,R2,R4,ep,as,J,Je,ep1,ep2,ti,to,R1,R3,R5,t1,t2,t3,t4,Convection,Radiation,‚‘t,SAT,ar,ƒ°R
1,Hoka,0.09806,2.83346,0.42383,0.85569,387.45291,103.05183,0.21759,0.70855,26.9718,-1.09739,0.04,0.0382565,0.11,11.61781485,12.10668532,12.29741011,26.42340359,-4.768119753,-0.217302127,-4.985421881,11.41839798,1.139349149,3.1197765
2,Hoka,0.01993,0.62676,0.71891,0.35658,656.27829,89.75796,0.79736,0.50017,5.05431,-4.42987,0.04,0.03632189,0.11,3.04073166,3.091336975,3.183563803,4.775003195,-2.305670699,-0.233482075,-2.539152774,2.939165549,2.531606907,0.83301189
3,Hoka,0.04391,3.66326,0.60311,0.3228,905.61081,8.0854,0.63374,0.15522,-3.90386,-13.94628,0.04,0.03874075,0.11,-1.47345814,-1.501134855,-1.525553364,-3.834526392,0.610462725,0.019842803,0.630305528,-1.448245919,0.8126132,3.89591075
4,Hoka,0.06036,4.65861,0.65733,0.52553,10.26522,73.71079,0.03366,0.28486,39.19433,35.03158,0.04,0.039718691,0.11,33.20868567,33.28289322,33.33172402,39.05909423,-1.220769961,-0.008646154,-1.229416115,33.15950902,0.17706354,4.908688691
5,Hoka,0.00413,0.35409,0.04318,0.34286,667.58387,83.63964,0.68719,0.09189,-2.61706,-11.23634,0.04,0.039210806,0.11,-1.527601006,-1.536468158,-1.620654149,-2.380888905,2.10464978,0.042360177,2.147009958,-1.441720608,0.503173706,0.547430806
6,Hoka,0.01584,2.42897,0.67229,0.3013,223.64742,116.64145,0.63963,0.60919,12.17151,-11.04315,0.04,0.036248527,0.11,-11.16257366,-11.01992466,-10.69348428,11.18089201,-8.161009696,-0.844608439,-9.005618135,-11.52279838,2.587328256,2.631058527
7,Hoka,0.02247,1.55585,0.64006,0.45201,782.18264,0.93348,0.13047,0.2183,3.44923,-13.47201,0.04,0.039204455,0.11,1.909591414,1.929617573,1.964558145,3.35119362,-0.873514295,-0.017725525,-0.89123982,1.873941822,0.507304951,1.767524455
8,Hoka,0.09859,3.14157,0.0823,0.74159,930.47085,55.4039,0.74898,0.62091,20.53607,-5.20406,0.04,0.035801157,0.11,24.55146664,24.43454919,24.39209275,20.66651852,1.061410913,0.124484746,1.185895659,24.59890246,2.932058277,3.425961157
9,Hoka,0.09137,6.01508,0.41454,0.29297,443.48864,132.51825,0.44105,0.83121,-6.77903,25.76872,0.04,0.036617552,0.11,28.80175605,28.2818486,28.07348985,-6.15311537,5.208968569,0.481164434,5.690133003,29.02936137,2.309307626,6.293067552
10,Hoka,0.03959,4.26756,0.8567,0.38063,248.34924,58.67773,0.31823,0.79122,9.99705,34.50105,0.04,0.037488533,0.11,36.19019723,35.95740916,35.73697766,10.64384686,5.510787509,0.369183904,5.879971413,36.42539608,1.674823712,4.494638533
